libtech_id,lib_name,lib_website,lib_catalog,city_county,state,popu_lsa_2019,web_visits_2019,locale_mod,cen_tract
14364,"Abbeville Memorial Library",https://www.abbevillelibrary.org/,http://abbeville.booksys.net/opac/aml/index.html#menuHome,Abbeville,AL,7515,4154,42,302
12987,"Adamsville Public Library",http://adamsville.lib.al.us/,http://encore.bham.lib.al.us/iii/encore/?lang=eng,Adamsville,AL,4347,0,21,121.04
14438,"Albertville Public Library",https://www.cityofalbertville.com/206/Library,http://68.157.229.254:88/,Albertville,AL,21392,18698,32,308.01
9368,"Andalusia Public Library",https://www2.youseemore.com/andalusia/default.asp,http://www.andylibrary.com/,Andalusia,AL,17914,183,33,9621
14347,"Arley Public Library",https://www.youseemore.com/cerl/,http://cerl.tlcdelivers.com,Arley,AL,346,8996,43,9655.02
14356,"Ashland City Public Library",https://www.cityofashlandal.com/library,http://216.180.36.15/,Ashland,AL,1932,-1,42,9590
14425,"Atmore Public Library",https://www.atmorepubliclibrary.com/,http://atmorelibrary.booksys.net/opac/apl/index.html#menuHome,Atmore,AL,9890,5856,32,9707
12626,"Auburn Public Library",https://www.auburnalabama.org/library/,http://books.auburnalabama.org/POLARIS,Auburn,AL,63973,134651,13,403
8648,"Baldwin County Library Cooperative",http://www.baldwincountylibrary.org/,http://baldwincat.org,Baldwin County,AL,98575,10554,31,109.05
14406,"Bay Minette Public Library",https://cityofbayminetteal.gov/departments/library,http://www.baldwincat.org/,Bay Minette,AL,9169,-1,32,105
23,"Birmingham Public Library",http://www.bham.lib.al.us/,https://jeffa.na.iiivega.com/,Birmingham,AL,210710,556973,12,27
14426,"Brewton Public Library",https://www.cityofbrewton.org/Living-in-Brewton/Library,https://brewtonlibrary.booksys.net/opac/bpl/index.html#menuHome,Brewton,AL,5236,258,32,9701
14546,"Carbon Hill City Library",https://www.youseemore.com/cerl/,http://cerl.tlcdelivers.com,Carbon Hill,AL,1928,8996,43,211
12749,"Carrollton Public Library",https://www.pickenslibrary.com/carrollton.html,http://pickenscclal.booksys.net/opac/cpl/#menuHome,Carrollton,AL,968,-1,42,503
9063,"Chelsea Public Library",https://www.cityofchelsea.com/225/Library-Home,http://catalog.shelbycounty-al.org/polaris/,Chelsea,AL,13011,31987,21,302.14
14357,"Cherokee County Public Library",https://cherokeecountypubliclibrary.org/,https://cherokeecplal.booksys.net/opac/cherokeecplal/index.html#menuHome,Cherokee County,AL,3498,4053,32,9559
6633,"Cullman County Public Library System",https://www.ccpls.com/,https://cullman.booksys.net/opac/cullman/#menuHome,Cullman County,AL,82755,28029,42,9649
13008,"Dadeville Public Library",https://dadevillepubliclibrary.com/404.html,http://dadevillepubliclibrary.com/online-catalog/,Dadeville,AL,3106,40822,42,9624
8656,"Daphne Public Library",https://www.daphneal.com/178/Public-Library,http://216.231.174.250/baldwin/,Daphne,AL,25960,86175,13,108
14403,"Decatur Public Library",https://mydpl.org/,https://catalog.mydpl.org/,Decatur,AL,87481,249101,13,4
14434,"Demopolis Public Library",https://demopolislibrary.org/,http://demopolisal.booksys.net/opac/dpl/index.html#menuHome,Demopolis,AL,12145,-1,33,9729
14350,"Double Springs Public Library",https://www.youseemore.com/cerl/,http://cerl.tlcdelivers.com,Double Springs,AL,1036,8996,43,9656
